input_id	dealiased_id	standard_id	short_id
pmid:24589553	pmid:24589553	pubmed:24589553	Djv3zv5n
pmid:21376230	pmid:21376230	pubmed:21376230	4H4Kjv9w
pmid:35022204	pmid:35022204	pubmed:35022204	kgaUYMuT
pmid:222475	pmid:222475	pubmed:222475	1FKCm8fuC
pmid:16575405	pmid:16575405	pubmed:16575405	qbfESpXa
pmid:3409256	pmid:3409256	pubmed:3409256	TYj65wKz
pmid:1552940	pmid:1552940	pubmed:1552940	kxXMFjnc
pmid:26447779	pmid:26447779	pubmed:26447779	JyurLVYi
pmid:8242752	pmid:8242752	pubmed:8242752	IILnKdOc
pmid:9765202	pmid:9765202	pubmed:9765202	N2yNjRyX
pmid:34812139	pmid:34812139	pubmed:34812139	1DxvFFUzE
pmid:1969059	pmid:1969059	pubmed:1969059	bLXbRmvx
pmid:1694291	pmid:1694291	pubmed:1694291	HnQw16l7
pmid:19776744	pmid:19776744	pubmed:19776744	SWNWMYmm
pmid:27585860	pmid:27585860	pubmed:27585860	7Yb2p7xx
pmid:18511570	pmid:18511570	pubmed:18511570	GiCMgc6K
pmid:32404993	pmid:32404993	pubmed:32404993	13QSbJkMk
pmid:15607980	pmid:15607980	pubmed:15607980	MLY9vR0E
pmid:33839689	pmid:33839689	pubmed:33839689	o8jKDrsB
pmid:25079552	pmid:25079552	pubmed:25079552	8Gf0ScB2
pmid:25109877	pmid:25109877	pubmed:25109877	PAjnX7uA
pmid:24132290	pmid:24132290	pubmed:24132290	12CuLfxxd
pmid:22448344	pmid:22448344	pubmed:22448344	wMtu748b
pmid:31395068	pmid:31395068	pubmed:31395068	WVwMP2mo
pmid:27811275	pmid:27811275	pubmed:27811275	e3rkxhDE
pmid:31996850	pmid:31996850	pubmed:31996850	3xXZMpos
pmid:28530655	pmid:28530655	pubmed:28530655	sufLyk4G
pmid:19561589	pmid:19561589	pubmed:19561589	bhNe3oCb
pmid:29233960	pmid:29233960	pubmed:29233960	2gOIsLdX
pmid:28572459	pmid:28572459	pubmed:28572459	1CW3EbE5O
pmid:23770567	pmid:23770567	pubmed:23770567	IBUQd6mv
pmid:28228261	pmid:28228261	pubmed:28228261	OK8s0ke5
pmid:1528264	pmid:1528264	pubmed:1528264	1fsz5jxh
pmid:22588877	pmid:22588877	pubmed:22588877	Ph0Z7rTW
pmid:33023640	pmid:33023640	pubmed:33023640	1AV7mz5Fc
pmid:18157086	pmid:18157086	pubmed:18157086	M2kGnbOE
pmid:28202515	pmid:28202515	pubmed:28202515	S6qbb6kC
pmid:29610476	pmid:29610476	pubmed:29610476	17E8qJFQ0
pmid:11694875	pmid:11694875	pubmed:11694875	kGt16xDw
pmid:26178787	pmid:26178787	pubmed:26178787	1EwtuJJw6
pmid:28089889	pmid:28089889	pubmed:28089889	Rky3nm5Q
pmid:34309564	pmid:34309564	pubmed:34309564	68clBYF4
pmid:33807717	pmid:33807717	pubmed:33807717	EpOVYdFF
pmid:16705038	pmid:16705038	pubmed:16705038	kQzAqqtP
pmid:24586047	pmid:24586047	pubmed:24586047	dAZ32h3a
pmid:31951518	pmid:31951518	pubmed:31951518	UfKKrJ6l
pmid:27328919	pmid:27328919	pubmed:27328919	ju5z9qDz
pmid:33518400	pmid:33518400	pubmed:33518400	KlPsMirp
pmid:11099028	pmid:11099028	pubmed:11099028	14fESvHZW
pmid:20182602	pmid:20182602	pubmed:20182602	1Aj9gKIb1
pmid:8265599	pmid:8265599	pubmed:8265599	E3yjcNvW
pmid:8319905	pmid:8319905	pubmed:8319905	Mb1Q4pdk
pmid:15607981	pmid:15607981	pubmed:15607981	V4ONQpBd
pmid:34178628	pmid:34178628	pubmed:34178628	B0ClcVtn
pmid:11238924	pmid:11238924	pubmed:11238924	Vbw51s50
pmid:19345189	pmid:19345189	pubmed:19345189	1HKPvGqty
pmid:32707077	pmid:32707077	pubmed:32707077	pjuOgKHJ
pmid:21471965	pmid:21471965	pubmed:21471965	hYWjwiQA
pmid:28752530	pmid:28752530	pubmed:28752530	1C8aTrJLL
pmid:18505920	pmid:18505920	pubmed:18505920	to1qRTTV
pmid:7585548	pmid:7585548	pubmed:7585548	PX0Ki15S
pmid:22068033	pmid:22068033	pubmed:22068033	17uu2v5lM
3.12A	3.12A	3.12A	13JPoBahY
pmid:23550210	pmid:23550210	pubmed:23550210	gI9Yeagx
pmid:16288016	pmid:16288016	pubmed:16288016	KKkLA3TK
pmid:16166291	pmid:16166291	pubmed:16166291	CVOIe1Dg
pmid:30262850	pmid:30262850	pubmed:30262850	kitgYOkt
pmid:16957739	pmid:16957739	pubmed:16957739	G5wVcRrJ
pmid:21107428	pmid:21107428	pubmed:21107428	CMVwSV1C
pmid:21107427	pmid:21107427	pubmed:21107427	okfbKJaD
pmid:24394915	pmid:24394915	pubmed:24394915	ztWGsqcf
pmid:24725405	pmid:24725405	pubmed:24725405	jHVcJWec
pmid:18463632	pmid:18463632	pubmed:18463632	OuXi55DW
pmid:24499815	pmid:24499815	pubmed:24499815	n08HchE9
pmid:24739965	pmid:24739965	pubmed:24739965	NLPwvKCP
pmid:24879355	pmid:24879355	pubmed:24879355	vsbCfYx4
pmid:32669714	pmid:32669714	pubmed:32669714	179MWicwA
pmid:32707078	pmid:32707078	pubmed:32707078	RCmUro9f
pmid:22397650	pmid:22397650	pubmed:22397650	1EmZp72ZM
pmid:27757846	pmid:27757846	pubmed:27757846	FfxdQ0tV
pmid:32822576	pmid:32822576	pubmed:32822576	btzNHt9A
pmid:27158780	pmid:27158780	pubmed:27158780	xy4r2sTu
pmid:24019382	pmid:24019382	pubmed:24019382	1HVB1AoBP
pmid:33662621	pmid:33662621	pubmed:33662621	2gUfVvoy
pmid:30205475	pmid:30205475	pubmed:30205475	YdeeJclQ
pmid:30770389	pmid:30770389	pubmed:30770389	NqyqCnIL
pmid:31533235	pmid:31533235	pubmed:31533235	v2CDt1N5
pmid:21807965	pmid:21807965	pubmed:21807965	iF6d3gGU
pmid:34689179	pmid:34689179	pubmed:34689179	HhXx5lwJ
pmid:33821796	pmid:33821796	pubmed:33821796	u4tRgATP
pmid:23523371	pmid:23523371	pubmed:23523371	aazIWGTV
pmid:9271435	pmid:9271435	pubmed:9271435	qiDMl6l6
pmid:28489818	pmid:28489818	pubmed:28489818	4TvMmTwj
pmid:27503997	pmid:27503997	pubmed:27503997	I9heYgx4
pmid:15060172	pmid:15060172	pubmed:15060172	CIReXnPL
pmid:34465782	pmid:34465782	pubmed:34465782	pXJPz758
pmid:27836911	pmid:27836911	pubmed:27836911	nZOmv1za
pmid:32792368	pmid:32792368	pubmed:32792368	1FBeCW3xl
pmid:33608386	pmid:33608386	pubmed:33608386	6jSWGuKW
pmid:8962135	pmid:8962135	pubmed:8962135	7GTCEP43
pmid:31778175	pmid:31778175	pubmed:31778175	BUDX0W0n
pmid:23524406	pmid:23524406	pubmed:23524406	1F2tY5YCh
pmid:24550319	pmid:24550319	pubmed:24550319	WiSGMfl3
pmid:24957944	pmid:24957944	pubmed:24957944	15BsPbLof
pmid:30631578	pmid:30631578	pubmed:30631578	RdTFM0c3
pmid:28714990	pmid:28714990	pubmed:28714990	2NpsUe92
pmid:34298710	pmid:34298710	pubmed:34298710	11XoGPg9g
pmid:15672607	pmid:15672607	pubmed:15672607	18dmdoj17
